diameter-of-n-ary-tree	true
move-sub-tree-of-n-ary-tree	true
find-root-of-n-ary-tree	true
find-a-value-of-a-mysterious-function-closest-to-target	false
maximum-number-of-non-overlapping-substrings	false
number-of-nodes-in-the-sub-tree-with-the-same-label	false
water-bottles	false
design-a-file-sharing-system	true
best-position-for-a-service-centre	false
number-of-substrings-with-only-1s	false
number-of-good-pairs	false
clone-n-ary-tree	true
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits	false
count-submatrices-with-all-ones	false
last-moment-before-all-ants-fall-out-of-a-plank	false
can-make-arithmetic-progression-from-sequence	false
clone-binary-tree-with-random-pointer	true
max-value-of-equation	false
number-of-subsequences-that-satisfy-the-given-sum-condition	false
check-if-array-pairs-are-divisible-by-k	false
path-crossing	false
delete-n-nodes-after-m-nodes-of-a-linked-list	true
stone-game-iv	false
minimum-difference-between-largest-and-smallest-value-in-three-moves	false
range-sum-of-sorted-subarray-sums	false
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree	false
avoid-flood-in-the-city	false
making-file-names-unique	false
xor-operation-in-an-array	false
find-all-the-lonely-nodes	true
minimum-number-of-days-to-make-m-bouquets	false
least-number-of-unique-integers-after-k-removals	false
running-sum-of-1d-array	false
parallel-courses-ii	false
longest-subarray-of-1s-after-deleting-one-element	false
the-kth-factor-of-n	false
average-salary-excluding-the-minimum-and-maximum-salary	false
paint-house-iii	false
design-browser-history	false
the-k-strongest-values-in-an-array	false
shuffle-the-array	false
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls	false
reorder-routes-to-make-all-paths-lead-to-the-city-zero	false
maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts	false
maximum-product-of-two-elements-in-an-array	false
find-two-non-overlapping-sub-arrays-each-with-target-sum	false
subrectangle-queries	false
allocate-mailboxes	false
final-prices-with-a-special-discount-in-a-shop	false
max-dot-product-of-two-subsequences	false
pseudo-palindromic-paths-in-a-binary-tree	false
maximum-number-of-vowels-in-a-substring-of-given-length	false
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence	false
maximum-number-of-darts-inside-of-a-circular-dartboard	false
people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list	false
rearrange-words-in-a-sentence	false
number-of-students-doing-homework-at-a-given-time	false
cherry-pickup-ii	false
course-schedule-iv	false
check-if-a-string-contains-all-binary-codes-of-size-k	false
make-two-arrays-equal-by-reversing-sub-arrays	false
number-of-ways-of-cutting-a-pizza	false
minimum-time-to-collect-all-apples-in-a-tree	false
count-triplets-that-can-form-two-arrays-of-equal-xor	false
build-an-array-with-stack-operations	false
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows	false
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit	false
check-if-all-1s-are-at-least-length-k-places-away	false
destination-city	false
form-largest-integer-with-digits-that-add-up-to-target	false
count-good-nodes-in-binary-tree	false
simplified-fractions	false
consecutive-characters	false
diagonal-traverse-ii	false
maximum-points-you-can-obtain-from-cards	false
